,Respondent ID,Identify which division you work in.-Response,Identify  which division you work in.-Other (please specify),Which of the following best describes your position level?-Response,Which generation are you apart of?-Response,Please select the gender in which you identify.-Response,Which duration range best aligns with your tenure at your company?-Response,Which of the following best describes your employment type?-Response,Quesion + Subquestion,Answer
0,5379192392,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1-Response,
1,2658722536,Finance,,Staff,,,10+ years,Full time Employee,Question 1-Response,Answer 4
2,4044163394,Infrastructure,,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1-Response,Answer 5
3,5535865599,Infrastructure,,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 1-Response,Answer 1
4,3356802928,Port Operations,,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1-Response,
5,3399511781,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1-Response,Answer 8
6,9860597462,Infrastructure,,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1-Response,Answer 8
7,1494621946,Infrastructure,,Chief / Executive,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1-Response,
8,8646387163,Information Technology,,Manager,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1-Response,Answer 3
9,2455127238,Information Technology,,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1-Response,Answer 4
10,1905266879,Finance,,Staff,Prefer not to answer,Female,0-2 years,Full time Employee,Question 1-Response,
11,7089369660,Finance,,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 1-Response,Answer 2
12,3397360934,Legal,,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1-Response,Answer 7
13,6904821010,Other (please specify),Construction,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1-Response,Answer 5
14,9961006444,Executive,,Staff,Prefer not to answer,Prefer not to answer,0-2 years,Full time Employee,Question 1-Response,
15,9736526482,Finance,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1-Response,
16,8035211358,Commercial,,Manager,Prefer not to answer,Prefer not to answer,5-10 years,Full time Employee,Question 1-Response,Answer 1
17,2855503402,Finance,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1-Response,
18,4136037887,Finance,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1-Response,Answer 3
19,9624253323,Infrastructure,,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1-Response,Answer 3
20,8546027678,Finance,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1-Response,
21,3555213031,Legal,,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1-Response,Answer 3
22,1754220060,Finance,,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1-Response,Answer 4
23,9011744859,Infrastructure,,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1-Response,Answer 2
24,5875585727,Information Technology,,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1-Response,Answer 1
25,9051604151,Commercial,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1-Response,
26,6573346680,Commercial,,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1-Response,
27,4383571615,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1-Response,Answer 5
28,5850350235,Infrastructure,,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1-Response,
29,9526771290,Port Operations,,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1-Response,Answer 2
30,8531180699,People,,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1-Response,
31,3087114007,Information Technology,,Staff,Baby Boomer (born between 1946-1964),Male,3-5 years,Full time Employee,Question 1-Response,Answer 5
32,7901328134,Information Technology,,Staff,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1-Response,
33,1321967343,Legal,,Department Lead,Generation X (born between 1965-1980),Female,5-10 years,Full time Employee,Question 1-Response,Answer 7
34,2206081204,People,,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1-Response,Answer 7
35,6285875694,Commercial,,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1-Response,Answer 4
36,1587370284,Finance,,Chief / Executive,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1-Response,
37,9270992319,Information Technology,,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1-Response,
38,2888589302,Executive,,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1-Response,
39,9939738223,Finance,,Department Lead,Baby Boomer (born between 1946-1964),Female,5-10 years,Full time Employee,Question 1-Response,
40,5794920197,Legal,,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1-Response,
41,3968415666,Legal,,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1-Response,Answer 4
42,4166850362,Infrastructure,,Staff,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1-Response,Answer 7
43,9945822370,Finance,,Staff,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1-Response,
